step,episode,timestamp,env/episode_length,env/episode_reward,env/score_diff,env/win_rate_100,train/epsilon,train/loss,eval/avg_score_diff,eval/avg_steps,eval/losses,eval/win_rate,eval/wins
475,126,2026-01-04T20:24:38.048036,27,1.5010047191011238,4,0.58,0.997587,0.0020739692263305187,,,,,
478,127,2026-01-04T20:24:41.998630,28,0.41868666666666665,-17,0.57,0.997568,0.0008356399096858999,,,,,
482,128,2026-01-04T20:24:46.986996,28,1.627952509363296,17,0.57,0.997549,0.0028539001650642604,,,,,
486,129,2026-01-04T20:24:52.013381,27,0.5269616479400748,0,0.56,0.99753,0.002322178042959422,,,,,
490,130,2026-01-04T20:24:56.987633,25,1.630292883895131,30,0.56,0.997511,0.001993757687159814,,,,,
493,131,2026-01-04T20:25:00.806946,25,0.4511465917602998,-3,0.56,0.997492,0.0008769080741330981,,,,,
497,132,2026-01-04T20:25:05.805571,28,1.5560824719101123,7,0.56,0.997473,0.0032775817380752414,,,,,
501,133,2026-01-04T20:25:10.804718,31,1.6125137078651686,4,0.57,0.997454,0.0023347135429503396,,,,,
505,134,2026-01-04T20:25:15.764668,25,1.5256041947565542,12,0.58,0.997435,0.002239413995994255,,,,,
509,135,2026-01-04T20:25:20.800828,28,0.5208116104868913,-2,0.58,0.997416,0.00280998571543023,,,,,
513,136,2026-01-04T20:25:25.779075,24,1.5300107116104869,16,0.58,0.997397,0.0017209805373568088,,,,,
517,137,2026-01-04T20:25:30.802799,27,1.5305992509363295,6,0.59,0.997378,0.0016872822307050228,,,,,
520,138,2026-01-04T20:25:34.662076,24,0.4940940074906367,5,0.6,0.997359,0.0015414898516610265,,,,,
524,139,2026-01-04T20:25:39.704244,28,1.6266116104868915,19,0.61,0.99734,0.004183996396022849,,,,,
528,140,2026-01-04T20:25:44.858092,29,0.47832868913857685,-15,0.6,0.997321,0.003849564280244522,,,,,
532,141,2026-01-04T20:25:49.896572,30,0.5679628464419475,-9,0.6,0.997302,0.0024915619287639856,,,,,
535,142,2026-01-04T20:25:53.754707,23,0.42162471910112365,-6,0.6,0.997283,0.002217236227200677,,,,,
539,143,2026-01-04T20:25:58.700906,29,0.5236314606741573,-4,0.59,0.997264,0.004150030814344063,,,,,
543,144,2026-01-04T20:26:03.750312,27,0.5113181273408239,1,0.6,0.997245,0.0014909964666003361,,,,,
547,145,2026-01-04T20:26:08.776360,26,1.543658052434457,12,0.61,0.997226,0.003434370504692197,,,,,
551,146,2026-01-04T20:26:13.882318,29,0.5039649438202247,-7,0.6,0.997207,0.0033566757338121533,,,,,
555,147,2026-01-04T20:26:18.852121,25,1.5150716104868913,14,0.6,0.997188,0.0030049897031858563,,,,,
559,148,2026-01-04T20:26:23.926610,27,0.4864884644194757,-3,0.59,0.997169,0.003183017310220748,,,,,
563,149,2026-01-04T20:26:28.936539,28,1.6149986516853931,19,0.6,0.99715,0.0026722220209194347,,,,,
563,149,2026-01-04T20:26:34.959873,,,,,,,-0.5,30,5,0.5,5
567,150,2026-01-04T20:26:41.067085,28,0.5398143071161049,0,0.59,0.997131,0.001605852070497349,,,,,
571,151,2026-01-04T20:26:46.088158,25,0.45396756554307094,0,0.59,0.997112,0.0020259445591364056,,,,,
574,152,2026-01-04T20:26:50.026616,28,0.43466179775280905,-22,0.59,0.997093,0.003927050158381462,,,,,
578,153,2026-01-04T20:26:55.041595,29,1.5426755805243446,4,0.6,0.997074,0.0026163357688346878,,,,,
582,154,2026-01-04T20:27:00.060304,26,0.49455168539325844,-1,0.6,0.997055,0.005308427818818018,,,,,
586,155,2026-01-04T20:27:05.045680,26,1.6011924344569288,21,0.6,0.997036,0.003274039539974183,,,,,
589,156,2026-01-04T20:27:08.817490,27,0.4806162546816479,-11,0.6,0.997017,0.002834590928008159,,,,,
593,157,2026-01-04T20:27:13.810634,29,1.5361593258426967,3,0.6,0.996998,0.002251237165182829,,,,,
596,158,2026-01-04T20:27:17.619115,26,0.46471123595505615,-7,0.59,0.996979,0.006051430236160134,,,,,
600,159,2026-01-04T20:27:22.579229,25,1.5153133333333333,5,0.59,0.99696,0.003959408029913902,,,,,
604,160,2026-01-04T20:27:27.622389,29,1.5779247940074905,6,0.59,0.996941,0.004379130259621888,,,,,
608,161,2026-01-04T20:27:32.593747,30,0.6064128838951311,5,0.59,0.996922,0.0036567412898875773,,,,,
612,162,2026-01-04T20:27:37.583747,30,1.6214199250936328,10,0.59,0.996903,0.002771950647002086,,,,,
615,163,2026-01-04T20:27:41.424170,29,0.4189492883895132,-23,0.58,0.996884,0.002796398204130431,,,,,
619,164,2026-01-04T20:27:46.390564,25,1.536136404494382,12,0.58,0.996865,0.0032794315775390714,,,,,
623,165,2026-01-04T20:27:51.366467,27,1.5153173033707865,4,0.59,0.996846,0.00224410422379151,,,,,
627,166,2026-01-04T20:27:56.415771,30,1.597174831460674,9,0.59,0.996827,0.003325649129692465,,,,,
631,167,2026-01-04T20:28:01.413706,33,0.604767265917603,-7,0.59,0.996808,0.005281864985590801,,,,,
635,168,2026-01-04T20:28:06.347379,27,1.5242292883895132,2,0.59,0.996789,0.002394637238467112,,,,,
638,169,2026-01-04T20:28:10.185097,28,0.47600277153558057,-17,0.59,0.99677,0.0020220679386208453,,,,,
642,170,2026-01-04T20:28:15.111580,29,0.5601458426966293,3,0.59,0.996751,0.0025043913919944316,,,,,
645,171,2026-01-04T20:28:18.993760,24,0.47540464419475664,1,0.59,0.996732,0.0021007190419671438,,,,,
649,172,2026-01-04T20:28:24.064093,29,1.5827865168539326,4,0.59,0.996713,0.003165778995025903,,,,,
653,173,2026-01-04T20:28:29.091615,29,1.581312584269663,2,0.59,0.996694,0.0021428317413665354,,,,,
658,174,2026-01-04T20:28:35.249958,30,1.6665208239700375,19,0.59,0.996675,0.00417955331504345,,,,,
661,175,2026-01-04T20:28:39.131266,24,0.46540374531835205,0,0.59,0.996656,0.0019776549112672606,,,,,
665,176,2026-01-04T20:28:44.166698,30,0.558421947565543,-7,0.59,0.996637,0.001161112159024924,,,,,
669,177,2026-01-04T20:28:49.081511,25,0.450405617977528,1,0.59,0.996618,0.003945506061427295,,,,,
673,178,2026-01-04T20:28:54.210485,29,1.567256479400749,6,0.59,0.996599,0.0014878655201755464,,,,,
677,179,2026-01-04T20:28:59.159921,25,1.4988792509363296,13,0.59,0.99658,0.002166438731364906,,,,,
680,180,2026-01-04T20:29:03.084548,26,0.4239414981273409,-16,0.58,0.996561,0.001785870874300599,,,,,
683,181,2026-01-04T20:29:06.947760,24,0.47033310861423216,3,0.59,0.996542,0.0038242617156356573,,,,,
688,182,2026-01-04T20:29:13.166232,29,1.642376104868914,24,0.59,0.996523,0.0016538993455469607,,,,,
692,183,2026-01-04T20:29:18.210170,30,0.5371467415730338,-8,0.59,0.996504,0.002987296844366938,,,,,
696,184,2026-01-04T20:29:23.242027,27,1.5374769288389514,4,0.6,0.996485,0.0014839234936516732,,,,,
700,185,2026-01-04T20:29:28.381983,31,1.625979850187266,4,0.6,0.996466,0.0027635620499495417,,,,,
704,186,2026-01-04T20:29:33.354294,28,0.45045640449438207,-10,0.59,0.996447,0.003849172469926998,,,,,
708,187,2026-01-04T20:29:38.393573,26,0.5012492134831461,0,0.58,0.996428,0.0018272588786203414,,,,,
712,188,2026-01-04T20:29:43.545385,31,0.5918573033707863,-5,0.57,0.996409,0.002280298213008791,,,,,
716,189,2026-01-04T20:29:48.505416,27,1.6045070411985018,20,0.58,0.99639,0.0015219446504488587,,,,,
720,190,2026-01-04T20:29:53.460528,27,1.5021066666666667,4,0.58,0.996371,0.0036090069479541853,,,,,
724,191,2026-01-04T20:29:58.491768,27,1.5076669662921347,6,0.58,0.996352,0.00424795423168689,,,,,
727,192,2026-01-04T20:30:02.352570,27,0.46631041198501877,-13,0.57,0.996333,0.003700648647888253,,,,,
731,193,2026-01-04T20:30:07.351371,28,1.5625575280898878,11,0.58,0.996314,0.0019062694045715034,,,,,
735,194,2026-01-04T20:30:12.316833,27,1.6311202996254681,26,0.58,0.996295,0.003602814322221093,,,,,
739,195,2026-01-04T20:30:17.329103,28,1.6069069662921351,7,0.59,0.996276,0.001479534708778374,,,,,
743,196,2026-01-04T20:30:22.323727,27,1.5999632209737829,28,0.6,0.996257,0.0032007992558646947,,,,,
746,197,2026-01-04T20:30:26.186022,27,0.4757361797752809,-14,0.59,0.996238,0.0057467210572212934,,,,,
749,198,2026-01-04T20:30:30.009302,23,1.492959775280899,5,0.6,0.996219,0.00205986516084522,,,,,
752,199,2026-01-04T20:30:33.878391,24,0.44045872659176033,-2,0.6,0.9962,0.0030553427447254458,,,,,
752,199,2026-01-04T20:30:39.279223,,,,,,,6.0,26,0,1.0,10
756,200,2026-01-04T20:30:45.118849,27,1.5788067415730336,9,0.6,0.996181,0.0019410327804507688,,,,,
759,201,2026-01-04T20:30:48.908336,24,0.49210846441947576,3,0.6,0.996162,0.004524475390401979,,,,,
763,202,2026-01-04T20:30:53.844744,26,1.55091063670412,8,0.6,0.996143,0.006859001412522048,,,,,
767,203,2026-01-04T20:30:58.750520,27,0.48029902621722853,1,0.6,0.996124,0.004598409286700189,,,,,
771,204,2026-01-04T20:31:03.757298,29,1.6336517602996257,14,0.6,0.996105,0.0020126055751461536,,,,,
775,205,2026-01-04T20:31:08.693782,25,1.5398964044943821,11,0.6,0.996086,0.0037145393434911966,,,,,
778,206,2026-01-04T20:31:12.506573,25,0.4632979026217229,-3,0.6,0.996067,0.0037878754859169326,,,,,
782,207,2026-01-04T20:31:17.446059,27,1.5405868164794008,14,0.61,0.996048,0.005085353477625176,,,,,
785,208,2026-01-04T20:31:21.266612,24,0.459399925093633,-1,0.6,0.996029,0.0039825416170060635,,,,,
789,209,2026-01-04T20:31:26.236750,31,1.6358594756554306,5,0.61,0.99601,0.005034969886764884,,,,,
793,210,2026-01-04T20:31:31.201136,25,1.4767362546816478,6,0.62,0.995991,0.0031825025798752904,,,,,
797,211,2026-01-04T20:31:36.217989,28,1.550116404494382,8,0.62,0.995972,0.0044022080255672336,,,,,
